id,year,category,number
372,2009,Arson,12204
375,2009,Other assaults,1319458
376,2009,Forgery and counterfeiting,85844
377,2009,Fraud,210255
378,2009,Embezzlement,17920
379,2009,Stolen property: buying or receiving or possessing,105303
380,2009,Vandalism,270439
381,2009,Weapons: carrying or possessing or etc.,166334
382,2009,Prostitution and commercialized vice,71355
383,2009,Sex offenses (except forcible rape and prostitution),77326
384,2009,Drug abuse violations,1663582
385,2009,Gambling,10360
386,2009,Offenses against family and children,114564
387,2009,Driving under the influence,1440409
388,2009,Liquor laws,570333
389,2009,Drunkenness,594300
390,2009,Disorderly conduct,655322
391,2009,Vagrancy,33388
392,2009,All other offenses,3764672
393,2009,Suspicion (not included in totals),1975
394,2009,Curfew and loitering law violations,112593
395,2009,Runaways,93434
396,2010,Murder and nonnegligent manslaughter,11201
397,2010,Forcible rape,20088
398,2010,Robbery,112300
399,2010,Aggravated assault,408488
400,2010,Burglary,289769
401,2010,Larceny-theft,1271410
402,2010,Motor vehicle theft,71487
403,2010,Arson,11296
406,2010,Other assaults,1292449
407,2010,Forgery and counterfeiting,78101
408,2010,Fraud,187887
409,2010,Embezzlement,16616
410,2010,Stolen property: buying or receiving or possessing,94802
411,2010,Vandalism,252753
412,2010,Weapons: carrying or possessing or etc.,159020
413,2010,Prostitution and commercialized vice,62668
414,2010,Sex offenses (except forcible rape and prostitution),72628
415,2010,Drug abuse violations,1638846
416,2010,Gambling,9941
417,2010,Offenses against family and children,111062
418,2010,Driving under the influence,1412223
419,2010,Liquor laws,512790
420,2010,Drunkenness,560718
421,2010,Disorderly conduct,615172
422,2010,Vagrancy,32033
423,2010,All other offenses,3720402
424,2010,Suspicion (not included in totals),1166
425,2010,Curfew and loitering law violations,94797
426,2004,Murder and nonnegligent manslaughter,13467
427,2004,Forcible rape,26066
428,2004,Robbery,108992
429,2004,Aggravated assault,438033
430,2004,Burglary,294645
431,2004,Larceny-theft,1185619
432,2004,Motor vehicle theft,148429
433,2004,Arson,15504
436,2004,Other assaults,1284858
437,2004,Forgery and counterfeiting,119518
438,2004,Fraud,282938
439,2004,Embezzlement,17332
440,2004,Stolen property: buying or receiving or possessing,128529
441,2004,Vandalism,272522
442,2004,Weapons: carrying or possessing or etc.,175776
443,2004,Prostitution and commercialized vice,87872
444,2004,Sex offenses (except forcible rape and prostitution),90913
445,2004,Drug abuse violations,1746570
446,2004,Gambling,10755
447,2004,Offenses against family and children,124936
448,2004,Driving under the influence,1433382
449,2004,Liquor laws,612528
450,2004,Drunkenness,552671
451,2004,Disorderly conduct,657637
452,2004,Vagrancy,36404
453,2004,All other offenses,3815435
454,2004,Suspicion (not included in totals),3554
455,2004,Curfew and loitering law violations,137398
456,2004,Runaways,119342
457,1999,Murder and nonnegligent manslaughter,14790
458,1999,Forcible rape,28830
459,1999,Robbery,108850
460,1999,Aggravated assault,483530
461,1999,Burglary,296100
462,1999,Larceny-theft,1189400
463,1999,Motor vehicle theft,142200
464,1999,Arson,16800
468,1999,Other assaults,1294400
469,1999,Forgery and counterfeiting,106900
470,1999,Fraud,363800
471,1999,Embezzlement,17100
472,1999,Stolen property: buying or receiving or possessing,121900
473,1999,Vandalism,278200
474,1999,Weapons: carrying or possessing or etc.,172400
475,1999,Prostitution and commercialized vice,92100
476,1999,Sex offenses (except forcible rape and prostitution),92400
477,1999,Drug abuse violations,1532200
478,1999,Gambling,10400
479,1999,Offenses against family and children,151200
480,1999,Driving under the influence,1511300
481,1999,Liquor laws,657900
482,1999,Drunkenness,656100
483,1999,Disorderly conduct,633100
484,1999,Vagrancy,30000
485,1999,All other offenses,3728100
486,1999,Suspicion (not included in totals),7500
487,1999,Curfew and loitering law violations,167200
488,1999,Runaways,148300
489,1998,Murder and nonnegligent manslaughter,17450
490,1998,Forcible rape,31070
491,1998,Robbery,120870
492,1998,Aggravated assault,506630
493,1998,Burglary,330700
494,1998,Larceny-theft,1307100
495,1998,Motor vehicle theft,150700
496,1998,Arson,17200
500,1998,Other assaults,1338800
501,1998,Forgery and counterfeiting,114600
502,1998,Fraud,394600
503,1998,Embezzlement,17100
504,1998,Stolen property: buying or receiving or possessing,137900
505,1998,Vandalism,300200
506,1998,Weapons: carrying or possessing or etc.,190600
507,1998,Prostitution and commercialized vice,94000
508,1998,Sex offenses (except forcible rape and prostitution),93600
509,1998,Drug abuse violations,1559100
510,1998,Gambling,12800
511,1998,Offenses against family and children,146400
512,1998,Driving under the influence,1402800
513,1998,Liquor laws,630400
514,1998,Drunkenness,710300
515,1998,Disorderly conduct,696100
516,1998,Vagrancy,30400
517,1998,All other offenses,3824100
518,1998,Suspicion (not included in totals),5200
519,1998,Curfew and loitering law violations,187800
520,1998,Runaways,165100
521,1997,Murder and nonnegligent manslaughter,18290
522,1997,Forcible rape,32060
523,1997,Robbery,132450
524,1997,Aggravated assault,534920
525,1997,Burglary,356000
526,1997,Larceny-theft,1472600
527,1997,Motor vehicle theft,167000
528,1997,Arson,20000
529,1997,Other assaults,1395800
530,1997,Forgery and counterfeiting,120100
531,1997,Fraud,414600
532,1997,Embezzlement,17400
533,1997,Stolen property: buying or receiving or possessing,155300
534,1997,Vandalism,318400
535,1997,Weapons: carrying or possessing or etc.,218900
536,1997,Prostitution and commercialized vice,101600
537,1997,Sex offenses (except forcible rape and prostitution),101900
538,1997,Drug abuse violations,1583600
539,1997,Gambling,15900
540,1997,Offenses against family and children,155800
541,1997,Driving under the influence,1477300
542,1997,Liquor laws,636400
543,1997,Drunkenness,734800
544,1997,Disorderly conduct,811100
545,1997,Vagrancy,28800
546,1997,All other offenses,3884600
547,1997,Suspicion (not included in totals),6500
548,1997,Curfew and loitering law violations,182700
549,1997,Runaways,196100
550,1996,Murder and nonnegligent manslaughter,19020
551,1996,Forcible rape,33050
552,1996,Robbery,156270
553,1996,Aggravated assault,521570
554,1996,Burglary,364800
555,1996,Larceny-theft,1486300
556,1996,Motor vehicle theft,175400
557,1996,Arson,19000
558,1996,Other assaults,1329000
559,1996,Forgery and counterfeiting,121600
560,1996,Fraud,465000
561,1996,Embezzlement,15700
562,1996,Stolen property: buying or receiving or possessing,151100
563,1996,Vandalism,320900
564,1996,Weapons: carrying or possessing or etc.,216200
565,1996,Prostitution and commercialized vice,99000
566,1996,Sex offenses (except forcible rape and prostitution),95800
567,1996,Drug abuse violations,1506200
568,1996,Gambling,21000
569,1996,Offenses against family and children,149800
570,1996,Driving under the influence,1467300
571,1996,Liquor laws,677400
572,1996,Drunkenness,718700
573,1996,Disorderly conduct,842600
574,1996,Vagrancy,27800
575,1996,All other offenses,3786700
576,1996,Suspicion (not included in totals),4900
577,1996,Curfew and loitering law violations,185100
578,1996,Runaways,195700
579,1995,Murder and nonnegligent manslaughter,21230
580,1995,Forcible rape,34650
581,1995,Robbery,171870
582,1995,Aggravated assault,568480
583,1995,Burglary,386500
584,1995,Larceny-theft,1530200
585,1995,Motor vehicle theft,191900
586,1995,Arson,20000
587,1995,Other assaults,1290400
588,1995,Forgery and counterfeiting,122300
589,1995,Fraud,436400
590,1995,Embezzlement,15200
591,1995,Stolen property: buying or receiving or possessing,166500
592,1995,Vandalism,311100
593,1995,Weapons: carrying or possessing or etc.,243900
594,1995,Prostitution and commercialized vice,97700
595,1995,Sex offenses (except forcible rape and prostitution),94500
596,1995,Drug abuse violations,1476100
597,1995,Gambling,19500
598,1995,Offenses against family and children,142900
599,1995,Driving under the influence,1436000
600,1995,Liquor laws,594900
601,1995,Drunkenness,708100
602,1995,Disorderly conduct,748600
603,1995,Vagrancy,25900
604,1995,All other offenses,3865400
605,1995,Suspicion (not included in totals),12100
606,1995,Curfew and loitering law violations,149800
607,1995,Runaways,249500
608,2003,Murder and nonnegligent manslaughter,13190
609,2003,Forcible rape,26350
610,2003,Robbery,107553
611,2003,Aggravated assault,449933
612,2003,Burglary,290956
613,2003,Larceny-theft,1145074
614,2003,Motor vehicle theft,152934
615,2003,Arson,16163
616,2003,Other assaults,1246698
617,2003,Forgery and counterfeiting,111823
618,2003,Fraud,299138
619,2003,Embezzlement,16826
620,2003,Stolen property: buying or receiving or possessing,126775
621,2003,Vandalism,273431
622,2003,Weapons: carrying or possessing or etc.,167972
623,2003,Prostitution and commercialized vice,75190
624,2003,Sex offenses (except forcible rape and prostitution),91546
625,2003,Drug abuse violations,1678192
626,2003,Gambling,10954
627,2003,Offenses against family and children,136034
628,2003,Driving under the influence,1448148
629,2003,Liquor laws,612079
630,2003,Drunkenness,548616
631,2003,Disorderly conduct,639371
632,2003,Vagrancy,28948
633,2003,All other offenses,3665543
634,2003,Suspicion (not included in totals),7163
635,2003,Curfew and loitering law violations,136461
636,2003,Runaways,123581
637,2002,Murder and nonnegligent manslaughter,14158
638,2002,Forcible rape,28288
639,2002,Robbery,105774
640,2002,Aggravated assault,472290
641,2002,Burglary,288291
642,2002,Larceny-theft,1160085
643,2002,Motor vehicle theft,148943
644,2002,Arson,16635
645,2002,Other assaults,1288682
646,2002,Forgery and counterfeiting,115735
647,2002,Fraud,337404
648,2002,Embezzlement,18552
649,2002,Stolen property: buying or receiving or possessing,126422
650,2002,Vandalism,276697
651,2002,Weapons: carrying or possessing or etc.,164446
652,2002,Prostitution and commercialized vice,79733
653,2002,Sex offenses (except forcible rape and prostitution),95066
654,2002,Drug abuse violations,1538813
655,2002,Gambling,10506
656,2002,Offenses against family and children,140286
657,2002,Driving under the influence,1461746
658,2002,Liquor laws,653819
659,2002,Drunkenness,572735
660,2002,Disorderly conduct,669938
661,2002,Vagrancy,27295
662,2002,All other offenses,3662159
663,2002,Suspicion (not included in totals),8899
664,2002,Curfew and loitering law violations,141252
665,2002,Runaways,125688
666,2001,Murder and nonnegligent manslaughter,13653
667,2001,Forcible rape,27270
668,2001,Robbery,108400
669,2001,Aggravated assault,477809
670,2001,Burglary,291444
671,2001,Larceny-theft,1160821
672,2001,Motor vehicle theft,147451
673,2001,Arson,18749
674,2001,Other assaults,1315807
675,2001,Forgery and counterfeiting,113741
676,2001,Fraud,323308
677,2001,Embezzlement,20157
678,2001,Stolen property: buying or receiving or possessing,121972
679,2001,Vandalism,270645
680,2001,Weapons: carrying or possessing or etc.,165896
681,2001,Prostitution and commercialized vice,80854
682,2001,Sex offenses (except forcible rape and prostitution),91828
683,2001,Drug abuse violations,1586902
684,2001,Gambling,11112
685,2001,Offenses against family and children,143683
686,2001,Driving under the influence,1434852
687,2001,Liquor laws,610591
688,2001,Drunkenness,618668
689,2001,Disorderly conduct,621394
690,2001,Vagrancy,27935
691,2001,All other offenses,3618164
692,2001,Suspicion (not included in totals),3955
693,2001,Curfew and loitering law violations,142889
694,2001,Runaways,133259
695,2000,Murder and nonnegligent manslaughter,13227
696,2000,Forcible rape,27469
697,2000,Robbery,106130
698,2000,Aggravated assault,478417
699,2000,Burglary,289844
700,2000,Larceny-theft,1166362
701,2000,Motor vehicle theft,148225
702,2000,Arson,16530
703,2000,Other assaults,1312169
704,2000,Forgery and counterfeiting,108654
705,2000,Fraud,345732
706,2000,Embezzlement,18952
707,2000,Stolen property: buying or receiving or possessing,118641
708,2000,Vandalism,281305
709,2000,Weapons: carrying or possessing or etc.,159181
710,2000,Prostitution and commercialized vice,87620
711,2000,Sex offenses (except forcible rape and prostitution),93399
712,2000,Drug abuse violations,1579566
713,2000,Gambling,10842
714,2000,Offenses against family and children,147663
715,2000,Driving under the influence,1471289
716,2000,Liquor laws,683124
717,2000,Drunkenness,637554
718,2000,Disorderly conduct,638740
719,2000,Vagrancy,32542
720,2000,All other offenses,3710434
721,2000,Suspicion (not included in totals),5682
722,2000,Curfew and loitering law violations,154711
723,2000,Runaways,141975
