id,offense,total,white,black,american_indian,asian,year
3277216,Vagrancy,36500,21760,13660,950,140,1988
5392656,All other offenses,3078900,1993680,1025810,30110,29300,1988
6880836,Curfew and loitering law violations,72200,52610,17450,700,1430,1988
9921491,Murder and nonnegligent manslaughter,22300,9780,12240,160,120,1989
656813,Forcible rape,39110,20880,17660,340,230,1989
14313,Robbery,165060,57310,106220,620,910,1989
6597209,Aggravated assault,459000,269380,182240,4290,3080,1989
9871224,Burglary,468900,315800,146320,4020,2760,1989
5129577,Larceny-theft,1604400,1049380,523940,16820,14270,1989
9155654,Motor vehicle theft,228500,130180,94510,1890,1920,1989
2895419,Arson,18600,14010,4350,140,100,1989
2170638,Other assaults,978900,616460,346480,10510,5450,1989
4434799,Forgery and counterfeiting,105400,68390,36010,560,450,1989
5378247,Fraud,376600,253920,120460,1200,1030,1989
4356070,Embezzlement,18200,12020,5990,60,130,1989
1198064,Stolen property (buying or receiving or possessing),176800,100040,74840,890,1030,1989
4083464,Vandalism,307800,231720,71560,2910,1610,1989
220441,Weapons (carrying or possessing or etc.),225200,130280,92460,1020,1450,1989
9921477,Prostitution and commercialized vice,107400,62040,43970,580,820,1989
6139486,Sex offenses (except forcible rape and prostitution),104800,81150,21990,1030,630,1989
166563,Drug abuse violations,1361700,797070,556580,4550,3500,1989
202871,Gambling,20600,10370,9670,50,520,1989
452683,Offenses against family and children,74200,49560,23580,780,290,1989
2300257,Driving under the influence,1736200,1556680,152440,18720,8360,1989
1963128,Liquor laws,657300,580970,59060,14100,3170,1989
9135556,Drunkenness,822500,659170,140850,20280,2210,1989
4008479,Disorderly conduct,776600,499830,265130,9120,2520,1989
1572570,Vagrancy,33800,19500,13610,590,110,1989
4597345,All other offenses,3214700,2060730,1102530,31530,19910,1989
1187325,Curfew and loitering law violations,77400,57680,18120,680,920,1989
2756894,Murder and nonnegligent manslaughter,22990,10150,12480,170,200,1990
3438347,Forcible rape,39160,21780,16750,310,320,1990
8644445,Robbery,167990,62060,104170,570,1190,1990
2469365,Aggravated assault,475330,285670,181690,4560,3410,1990
9986265,Burglary,432600,295970,129270,3840,3520,1990
1334555,Larceny-theft,1554800,1044780,475490,16190,18340,1990
547998,Motor vehicle theft,211300,124660,82370,1560,2710,1990
4988150,Arson,19100,14400,4360,210,130,1990
1552114,Other assaults,1014100,656180,338050,12160,7710,1990
467643,Forgery and counterfeiting,94800,62090,31510,560,650,1990
4986597,Fraud,291600,196650,92730,1170,1050,1990
5739075,Embezzlement,15300,10420,4640,70,170,1990
7277735,Stolen property (buying or receiving or possessing),165200,96430,66620,900,1250,1990
2236124,Vandalism,326000,249060,71020,3200,2710,1990
7915831,Weapons (carrying or possessing or etc.),221200,130480,87300,1130,2300,1990
5440597,Prostitution and commercialized vice,111400,66980,43040,530,850,1990
4320489,Sex offenses (except forcible rape and prostitution),107600,85230,20460,1000,920,1990
7305041,Drug abuse violations,1089500,641100,439980,3770,4660,1990
6911826,Gambling,19300,9260,9070,30,950,1990
5949726,Offenses against family and children,85800,57070,25560,1050,2120,1990
6322506,Driving under the influence,1810800,1625320,152700,20280,12500,1990
4073369,Liquor laws,714700,628530,66080,16300,3790,1990
3655534,Drunkenness,910100,723300,164560,20060,2180,1990
2753201,Disorderly conduct,733000,487680,232180,9790,3340,1990
9283558,Vagrancy,38500,22030,15570,760,140,1990
1785123,All other offenses,3267800,2106940,1099050,31020,30800,1990
1922315,Curfew and loitering law violations,80800,61460,16820,840,1690,1990
9094737,Murder and nonnegligent manslaughter,24050,10530,13120,190,210,1991
7525589,Forcible rape,40120,22300,17140,370,310,1991
7857251,Robbery,173820,65050,106510,780,1480,1991
3279289,Aggravated assault,480900,291830,180740,4440,3880,1991
1277185,Burglary,436500,302140,126110,4010,4250,1991
862462,Larceny-theft,1588300,1049430,501160,17320,20400,1991
7132114,Motor vehicle theft,207700,121170,82190,1710,2640,1991
1843277,Arson,20000,15450,4190,190,170,1991
469556,Other assaults,1041200,665780,353900,12830,8680,1991
7145158,Forgery and counterfeiting,103700,67510,34760,590,840,1991
6709678,Fraud,427800,295060,128940,1930,1870,1991
8915093,Embezzlement,14000,9660,4120,100,120,1991
4952255,Stolen property (buying or receiving or possessing),170000,99470,68260,970,1300,1991
2721790,Vandalism,335100,254780,74130,3280,2900,1991
3774229,Weapons (carrying or possessing or etc.),232300,129570,99300,1160,2270,1991
8081289,Prostitution and commercialized vice,98900,57410,39920,530,1030,1991
8149998,Sex offenses (except forcible rape and prostitution),108000,84100,21720,1130,1040,1991
7033460,Drug abuse violations,1010000,582730,418600,3560,5110,1991
5402778,Gambling,16600,7070,8340,20,1170,1991
1462378,Offenses against family and children,99400,66880,29250,1060,2220,1991
2030345,Driving under the influence,1771400,1579900,157150,21170,13180,1991
6561076,Liquor laws,624100,546680,59370,14420,3640,1991
8727004,Drunkenness,881100,715120,144580,19060,2350,1991
8186956,Disorderly conduct,757700,482940,261230,9500,4020,1991
2486789,Vagrancy,38500,20400,17260,740,100,1991
7644946,All other offenses,3240000,2080880,1089640,34690,34790,1991
7017919,Curfew and loitering law violations,93400,72250,18750,730,1670,1991
6883984,Murder and nonnegligent manslaughter,22510,9790,12410,130,180,1992
3178891,Forcible rape,39100,22110,16280,380,330,1992
7318067,Robbery,173310,64810,106290,690,1520,1992
2272152,Aggravated assault,507210,300560,198180,4440,4040,1992
5010962,Burglary,424000,287970,128350,3540,4150,1992
6967944,Larceny-theft,1504500,986550,481920,16270,19770,1992
6225674,Motor vehicle theft,197600,113520,79880,1600,2600,1992
7701046,Arson,19900,15250,4320,170,160,1992
9173542,Other assaults,1074700,682880,370180,12510,9130,1992
9565170,Forgery and counterfeiting,105400,68950,34810,620,1020,1992
7947782,Fraud,424200,275430,144720,1940,2120,1992
4158517,Embezzlement,13700,9430,4030,60,180,1992
2242556,Stolen property (buying or receiving or possessing),161500,92850,66300,950,1410,1992
8300475,Vandalism,323100,244730,72230,3300,2850,1992
4598043,Weapons (carrying or possessing or etc.),239300,132600,102960,1250,2500,1992
2990887,Prostitution and commercialized vice,96200,57540,37150,490,1020,1992
5037338,Sex offenses (except forcible rape and prostitution),108400,84430,21890,1020,1070,1992
23285,Drug abuse violations,1066400,625330,431250,4220,5610,1992
9441443,Gambling,17100,7380,8660,70,990,1992
4051680,Offenses against family and children,109200,73820,31420,1470,2490,1992
2619555,Driving under the influence,1624500,1423370,164960,22420,13750,1992
